,Region,Make,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score
35,American,CHEVROLET,Cruze,1.6,4,Auto-9,2WD,Diesel,small car,31,47,37,7
36,American,CHEVROLET,Cruze,1.6,4,Auto-9,2WD,Diesel,small car,31,47,37,7
37,American,CHEVROLET,Cruze,1.6,4,Man-6,2WD,Diesel,small car,30,52,37,7
38,American,CHEVROLET,Cruze,1.6,4,Man-6,2WD,Diesel,small car,30,52,37,7
39,American,CHEVROLET,Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,midsize car,27,38,31,7
40,American,CHEVROLET,Cruze Hatchback,1.4,4,Man-6,2WD,Gasoline,midsize car,27,38,31,7
41,American,CHEVROLET,Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,29,38,32,7
42,American,CHEVROLET,Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,29,38,32,7
43,American,CHEVROLET,Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,midsize car,30,45,35,7
44,American,CHEVROLET,Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,midsize car,30,45,35,7
45,American,CHEVROLET,Cruze Hatchback,1.6,4,Man-6,2WD,Diesel,midsize car,29,48,35,7
46,American,CHEVROLET,Cruze Hatchback,1.6,4,Man-6,2WD,Diesel,midsize car,29,48,35,7
47,American,CHEVROLET,Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,small car,29,39,33,8
48,American,CHEVROLET,Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,small car,29,39,33,8
49,American,CHEVROLET,Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,28,37,31,7
50,American,CHEVROLET,Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,midsize car,28,37,31,7
51,American,CHEVROLET,Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,27,36,30,7
52,American,CHEVROLET,Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,27,36,30,7
53,American,CHEVROLET,Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,27,36,30,7
54,American,CHEVROLET,Malibu,1.5,4,Auto-6,2WD,Gasoline,midsize car,27,36,30,7
55,American,CHEVROLET,Malibu,1.8,4,CVT,2WD,Gasoline,midsize car,49,43,46,10
56,American,CHEVROLET,Malibu,1.8,4,CVT,2WD,Gasoline,midsize car,49,43,46,10
57,American,CHEVROLET,Sonic,1.4,4,Man-6,2WD,Gasoline,small car,28,37,32,7
58,American,CHEVROLET,Sonic,1.4,4,Man-6,2WD,Gasoline,small car,28,37,32,7
59,American,CHEVROLET,Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,small car,27,35,30,7
60,American,CHEVROLET,Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,small car,27,35,30,7
61,American,CHEVROLET,Sonic 5,1.4,4,Man-6,2WD,Gasoline,station wagon,28,37,32,7
62,American,CHEVROLET,Sonic 5,1.4,4,Man-6,2WD,Gasoline,station wagon,28,37,32,7
63,American,CHEVROLET,Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,station wagon,27,35,30,7
64,American,CHEVROLET,Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,station wagon,27,35,30,7
65,American,CHEVROLET,Spark,1.4,4,CVT,2WD,Gasoline,small car,30,38,33,8
