,Region,Make,Model,Displ,Cyl,Trans,Drive,Fuel,VehClass,CityMPG,HwyMPG,CmbMPG,GreenhouseGasScore
331,Asian,Subaru,Impreza,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,28.0,38.0,32.0,7
332,Asian,Subaru,Impreza,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,28.0,36.0,31.0,7
335,Asian,Subaru,Impreza 4-Door Sport,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,27.0,36.0,30.0,7
337,Asian,Subaru,Impreza 5-Door Sport,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,27.0,35.0,30.0,7
377,Asian,Toyota,Avalon Hybrid,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,43.0,43.0,43.0,9
379,Asian,Toyota,Avalon Hybrid XLE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,43.0,44.0,44.0,10
381,Asian,Toyota,Camry,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,29.0,41.0,34.0,8
383,Asian,Toyota,Camry Hybrid LE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,51.0,53.0,52.0,10
385,Asian,Toyota,Camry Hybrid XLE/SE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,44.0,47.0,46.0,10
387,Asian,Toyota,Camry LE/SE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,28.0,39.0,32.0,7
389,Asian,Toyota,Camry XLE/XSE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,28.0,39.0,32.0,7
391,Asian,Toyota,Corolla,1.8,4.0,CVT,2WD,Gasoline,midsize car,28.0,36.0,32.0,7
393,Asian,Toyota,Corolla,1.8,4.0,Man-6,2WD,Gasoline,midsize car,27.0,35.0,30.0,7
395,Asian,Toyota,Corolla,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,28.0,35.0,31.0,7
397,Asian,Toyota,Corolla Hatchback,2.0,4.0,Man-6,2WD,Gasoline,small car,28.0,37.0,31.0,7
399,Asian,Toyota,Corolla Hatchback,2.0,4.0,SCV-10,2WD,Gasoline,small car,32.0,42.0,36.0,8
401,Asian,Toyota,Corolla Hatchback XSE,2.0,4.0,SCV-10,2WD,Gasoline,small car,30.0,38.0,33.0,8
403,Asian,Toyota,Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,29.0,38.0,33.0,8
404,Asian,Toyota,Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,30.0,40.0,34.0,8
409,Asian,Toyota,Prius,1.8,4.0,CVT,2WD,Gasoline,midsize car,54.0,50.0,52.0,10
411,Asian,Toyota,Prius,1.8,4.0,CVT,4WD,Gasoline,midsize car,52.0,48.0,50.0,10
413,Asian,Toyota,Prius Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,58.0,53.0,56.0,10
415,Asian,Toyota,Prius Prime,1.8,4.0,CVT,2WD,Gasoline/Electricity,midsize car,55.0,53.0,54.0,10
417,Asian,Toyota,Prius c,1.5,4.0,CVT,2WD,Gasoline,small car,48.0,43.0,46.0,10
419,Asian,Toyota,RAV4,2.5,4.0,SemiAuto-8,2WD,Gasoline,small SUV,26.0,35.0,30.0,7
421,Asian,Toyota,RAV4,2.5,4.0,SemiAuto-8,4WD,Gasoline,small SUV,27.0,34.0,30.0,7
423,Asian,Toyota,RAV4 Hybrid,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,41.0,38.0,40.0,9
425,Asian,Toyota,Yaris,1.5,4.0,Auto-4,2WD,Gasoline,small car,30.0,35.0,32.0,7
427,Asian,Toyota,Yaris,1.5,4.0,Man-6,2WD,Gasoline,small car,30.0,39.0,34.0,8
429,Asian,Toyota,Yaris,1.5,4.0,SemiAuto-6,2WD,Gasoline,small car,32.0,40.0,35.0,8
431,European,Volkswagen,Golf,1.4,4.0,Man-6,2WD,Gasoline,small car,29.0,37.0,32.0,7
433,European,Volkswagen,Golf,1.4,4.0,SemiAuto-8,2WD,Gasoline,small car,29.0,37.0,32.0,7
435,European,Volkswagen,Golf SportWagen,1.4,4.0,Man-6,2WD,Gasoline,station wagon,29.0,37.0,32.0,7
437,European,Volkswagen,Golf SportWagen,1.4,4.0,SemiAuto-8,2WD,Gasoline,station wagon,27.0,36.0,31.0,7
439,European,Volkswagen,Jetta,1.4,4.0,Man-6,2WD,Gasoline,small car,30.0,40.0,34.0,8
441,European,Volkswagen,Jetta,1.4,4.0,SemiAuto-8,2WD,Gasoline,small car,30.0,40.0,34.0,8
445,European,Volvo,S60,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small car,29.0,34.0,31.0,10
447,European,Volvo,S90,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,midsize car,26.0,33.0,29.0,10
449,European,Volvo,XC60,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small SUV,25.0,28.0,26.0,9
451,European,Volvo,XC90,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,standard SUV,24.0,27.0,25.0,9
